asin,productName,oldPrice,price,imageUrl,prime,productUrl,rating,sponsored
B0BXQ6NRRN,"LEGO Harry Potter Hogwarts Castle and Grounds 76419 Building Set, Gift Idea for Adults, Buildable Display Model, Collectible Harry Potter Playset, Recreate Iconic Scenes from The Wizarding World",,$169.99,https://m.media-amazon.com/images/I/813B5OrhLSL._AC_UY218_.jpg,True,/sspa/click?ie=UTF8&spc=MToxNjY1NjkzMzY2NDg5NjI3OjE2OTUxODg4Mjc6c3BfYXRmOjMwMDA0MzUxOTM0NTEwMjo6MDo6&url=%2FLEGO-Hogwarts-Buildable-Collectible-Wizarding%2Fdp%2FB0BXQ6NRRN%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dharry%2Bpotter%26qid%3D1695188827%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.3 out of 5 stars,True
B09JKWBJ7F,"LEGO Harry Potter Hogwarts Magical Trunk 76399 Luggage Set, Summer Toys, Building Toy Idea for Outdoor Play for Kids, Girls & Boys with Movie Minifigures and House Colors",$64.99,$45.99,https://m.media-amazon.com/images/I/8180RAHgRgL._AC_UY218_.jpg,True,/sspa/click?ie=UTF8&spc=MToxNjY1NjkzMzY2NDg5NjI3OjE2OTUxODg4Mjc6c3BfYXRmOjIwMDEzOTk2OTg5MDQ5ODo6MDo6&url=%2FLEGO-Potter-Hogwarts-Magical-Building-Pieces%2Fdp%2FB09JKWBJ7F%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dharry%2Bpotter%26qid%3D1695188827%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.8 out of 5 stars,True
B00AP06III,Harry Potter and the Sorcerer's Stone,,$3.99,https://m.media-amazon.com/images/I/71WKvIYkKHL._AC_UY218_.jpg,False,/Harry-Potter-Sorcerers-Daniel-Radcliffe/dp/B00AP06III/ref=sr_1_3?keywords=harry+potter&qid=1695188827&sr=8-3,4.8 out of 5 stars,False
B09RRZXMWC,Harry Potter Loteria | Traditional Loteria Mexicana Game of Chance | Bingo Style Game Featuring Custom Artwork & Illustrations from Harry Potter Films | Inspired by Spanish Words & Mexican Culture,,$19.99,https://m.media-amazon.com/images/I/91wBJm4F-XL._AC_UY218_.jpg,True,/Traditional-Mexicana-Featuring-Illustrations-Inspired/dp/B09RRZXMWC/ref=sr_1_4?keywords=harry+potter&qid=1695188827&sr=8-4,4.9 out of 5 stars,False
B00271HTLI,Harry Potter And The Prisoner Of Azkaban,,$3.99,https://m.media-amazon.com/images/I/91yAV0OLZVL._AC_UY218_.jpg,False,/Potter-Prisoner-Azkaban-Daniel-Radcliffe/dp/B00271HTLI/ref=sr_1_5?keywords=harry+potter&qid=1695188827&sr=8-5,4.9 out of 5 stars,False
B07F1HGJPP,"Tervis Harry Potter - 20th Anniversary Triple Walled Insulated Tumbler Travel Cup Keeps Drinks Cold & Hot, 30oz, Stainless Steel",,$32.39,https://m.media-amazon.com/images/I/71m-pLuPVxL._AC_UL320_.jpg,True,/Tervis-1295915-Potter-20Th-Anniversary-Insulated/dp/B07F1HGJPP/ref=sxin_14_recs_zoco_bs?content-id=amzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7%3Aamzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7&cv_ct_cx=harry+potter&keywords=harry+potter&pd_rd_i=B07F1HGJPP&pd_rd_r=6c95d899-74d1-4cc2-9b73-a45c48ea38f4&pd_rd_w=3gOLt&pd_rd_wg=xRC4o&pf_rd_p=6026a306-5198-4a2b-abec-e28b08c02cb7&pf_rd_r=YWZA3N5Y6T03477RTTET&qid=1695188827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-517d4988-76e4-4a45-96c1-e9f46edd7a85,4.8 out of 5 stars,False
B078T2JYDF,"Tervis Harry Potter - Group Charms Tumbler with Wrap and Black Lid 10oz Wavy, Clear",$18.99,$16.99,https://m.media-amazon.com/images/I/615Z-IbwXnL._AC_UL320_.jpg,True,/Tervis-1267925-Harry-Potter-Tumbler/dp/B078T2JYDF/ref=sxin_14_recs_zoco_bs?content-id=amzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7%3Aamzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7&cv_ct_cx=harry+potter&keywords=harry+potter&pd_rd_i=B078T2JYDF&pd_rd_r=6c95d899-74d1-4cc2-9b73-a45c48ea38f4&pd_rd_w=3gOLt&pd_rd_wg=xRC4o&pf_rd_p=6026a306-5198-4a2b-abec-e28b08c02cb7&pf_rd_r=YWZA3N5Y6T03477RTTET&qid=1695188827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-2-517d4988-76e4-4a45-96c1-e9f46edd7a85,4.9 out of 5 stars,False
B01G8UOJQQ,"Northwest Harry Potter Micro Raschel, 46"" x 60"", To Hogwarts",$24.95,$19.14,https://m.media-amazon.com/images/I/91GRB9-w+HL._AC_UL320_.jpg,True,/Harry-Potter-Hogwarts-Raschel-Blanket/dp/B01G8UOJQQ/ref=sxin_14_recs_zoco_bs?content-id=amzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7%3Aamzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7&cv_ct_cx=harry+potter&keywords=harry+potter&pd_rd_i=B01G8UOJQQ&pd_rd_r=6c95d899-74d1-4cc2-9b73-a45c48ea38f4&pd_rd_w=3gOLt&pd_rd_wg=xRC4o&pf_rd_p=6026a306-5198-4a2b-abec-e28b08c02cb7&pf_rd_r=YWZA3N5Y6T03477RTTET&qid=1695188827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-3-517d4988-76e4-4a45-96c1-e9f46edd7a85,4.7 out of 5 stars,False
B01689UBD2,"Tervis Harry Potter The Marauder's Map Made in USA Double Walled Insulated Tumbler Travel Cup Keeps Drinks Cold & Hot, 24oz, Classic",,$21.99,https://m.media-amazon.com/images/I/71os0egqwQL._AC_UL320_.jpg,True,/Tervis-1202240-Harry-Potter-Marauders/dp/B01689UBD2/ref=sxin_14_recs_zoco_bs?content-id=amzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7%3Aamzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7&cv_ct_cx=harry+potter&keywords=harry+potter&pd_rd_i=B01689UBD2&pd_rd_r=6c95d899-74d1-4cc2-9b73-a45c48ea38f4&pd_rd_w=3gOLt&pd_rd_wg=xRC4o&pf_rd_p=6026a306-5198-4a2b-abec-e28b08c02cb7&pf_rd_r=YWZA3N5Y6T03477RTTET&qid=1695188827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-4-517d4988-76e4-4a45-96c1-e9f46edd7a85,4.8 out of 5 stars,False
B01KTY8QR0,Ata-Boy Harry Potter Slytherin Crest Car and Fridge Magnet 3'' Round,,$5.99,https://m.media-amazon.com/images/I/71v+lY4reKL._AC_UL320_.jpg,True,/Ata-Boy-Die-Cut-Slytherin-Refrigerators-Lockers/dp/B01KTY8QR0/ref=sxin_14_recs_zoco_bs?content-id=amzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7%3Aamzn1.sym.6026a306-5198-4a2b-abec-e28b08c02cb7&cv_ct_cx=harry+potter&keywords=harry+potter&pd_rd_i=B01KTY8QR0&pd_rd_r=6c95d899-74d1-4cc2-9b73-a45c48ea38f4&pd_rd_w=3gOLt&pd_rd_wg=xRC4o&pf_rd_p=6026a306-5198-4a2b-abec-e28b08c02cb7&pf_rd_r=YWZA3N5Y6T03477RTTET&qid=1695188827&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-5-517d4988-76e4-4a45-96c1-e9f46edd7a85,4.7 out of 5 stars,False
